permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
response,1,43,171.99183384988058,0.007513443510047197,139.02828765729933,Bootstrap01
response,1,43,168.87725799183758,0.009734459839720192,129.2208840460357,Bootstrap02
response,1,43,194.51108391995484,0.013949976543757158,156.97953435299584,Bootstrap03
response,1,43,122.18031870503292,0.012585839048264455,97.6764384378446,Bootstrap04
response,1,43,149.3697892583512,0.007516433572650662,121.7302014669899,Bootstrap05
response,1,43,164.11216012592405,0.003711004185396845,131.52329496460345,Bootstrap06
response,1,43,150.45378810056516,0.015465310693052589,125.69209582883434,Bootstrap07
response,1,43,172.0130411558741,3.917352422342748e-4,135.28154292427672,Bootstrap08
response,1,43,158.12975049796893,0.01642691044277185,116.52702773543487,Bootstrap09
response,1,43,132.32704454247906,0.055934478302246946,105.658200343292,Bootstrap10
response,2,44,177.08757430340924,0.004362730552440979,141.6840440020666,Bootstrap01
response,2,44,151.21577935638686,0.057091228441413455,126.01582171502592,Bootstrap02
response,2,44,183.31782862763467,0.03651563605827755,148.5253661729761,Bootstrap03
response,2,44,156.0157582897739,0.01462871556807056,121.98575423810905,Bootstrap04
response,2,44,163.16936160457132,0.00495024699280054,139.0928423576912,Bootstrap05
response,2,44,154.62868265678114,0.014135951009298021,126.41495947364643,Bootstrap06
response,2,44,161.37070090097882,0.016844068311831096,125.05013327004083,Bootstrap07
response,2,44,130.31190995270063,2.0469703027339677e-4,106.65694472633014,Bootstrap08
response,2,44,149.74950637284624,0.01256252814369723,123.07147482796734,Bootstrap09
response,2,44,177.2014130581427,0.027392571331827317,141.66424916593493,Bootstrap10
response,3,45,150.54871611175054,0.014457569093930851,114.26229888604351,Bootstrap01
response,3,45,156.59698843979092,0.04308647352493407,129.49047282300805,Bootstrap02
response,3,45,159.59896819626871,0.004601495864208753,126.40402790589887,Bootstrap03
response,3,45,129.64660266151847,0.07983585157109813,100.3193220100169,Bootstrap04
response,3,45,146.5084673033329,0.003525478070103895,122.10703828647313,Bootstrap05
response,3,45,123.73608471037392,0.02460165881952958,109.9598452618078,Bootstrap06
response,3,45,151.48520091013125,0.006337191689839841,132.66222292759295,Bootstrap07
response,3,45,147.6160998317013,0.1189201859824333,123.13176279410236,Bootstrap08
response,3,45,166.04411693569818,0.025697022411204373,132.21197287932245,Bootstrap09
response,3,45,146.57501798446316,0.0049619203931686685,117.76238527209587,Bootstrap10
response,4,46,162.19291379979316,0.00968424578960215,126.9401280717335,Bootstrap01
response,4,46,195.06464805953055,0.009147695930606364,147.7191302352563,Bootstrap02
response,4,46,158.56320825286397,0.02338446315313813,120.51321290628674,Bootstrap03
response,4,46,129.4538251369497,0.0350502122775143,108.8392526322185,Bootstrap04
response,4,46,163.9093798798153,0.00760616805157261,125.1902128355507,Bootstrap05
response,4,46,139.5675116417312,0.010895093186103376,114.02262806300129,Bootstrap06
response,4,46,152.6389381713151,0.029134694490112127,113.48756950828493,Bootstrap07
response,4,46,162.9746817926571,0.003241701672081936,133.71153080269858,Bootstrap08
response,4,46,173.60065816537482,0.00835007602754591,131.94885200591187,Bootstrap09
response,4,46,158.49747116108236,2.657677043714424e-4,126.42472053075632,Bootstrap10
response,5,47,174.6683904278373,0.010796117723430428,145.09197308948697,Bootstrap01
response,5,47,169.38120693609616,0.14357649586379284,131.65685790581742,Bootstrap02
response,5,47,144.21431812091484,0.019589527311788167,119.89747728632356,Bootstrap03
response,5,47,156.9675290870056,3.1263187424456293e-4,122.6916803410815,Bootstrap04
response,5,47,169.88012488955212,9.080461071348509e-5,140.40889669360865,Bootstrap05
response,5,47,174.93940921565468,0.0439350403484353,145.35596842920805,Bootstrap06
response,5,47,170.8446996848119,0.0014411648556033366,128.92889457327428,Bootstrap07
response,5,47,157.66988406630233,5.366641249717803e-4,134.89181653093365,Bootstrap08
response,5,47,129.13544869812822,0.03855815880573613,106.13373194226618,Bootstrap09
response,5,47,176.477733799793,0.023034647656215088,138.71576898252025,Bootstrap10
response,6,48,167.80296388212187,0.03367666020205901,137.56250522556107,Bootstrap01
response,6,48,141.90774582629385,0.016178527813901854,119.8573688712401,Bootstrap02
response,6,48,175.15922289383394,0.0065389518203783055,144.70054338967887,Bootstrap03
response,6,48,172.3226937490272,0.016496039173747683,148.96838453345043,Bootstrap04
response,6,48,172.5842373318125,1.5891817959350567e-4,143.64489207252424,Bootstrap05
response,6,48,160.05933071183605,8.333807001726573e-5,129.0454394961357,Bootstrap06
response,6,48,159.99597442659461,0.02941753131153345,126.11005109506691,Bootstrap07
response,6,48,157.66823616708635,0.0020422103042119335,126.48961130207488,Bootstrap08
response,6,48,160.83751362420088,0.07785859693675673,120.77398992874372,Bootstrap09
response,6,48,135.44384222903614,0.007953114876861013,113.7711642750859,Bootstrap10
response,7,49,142.68940086660342,0.010344150814324007,114.35213472883407,Bootstrap01
response,7,49,159.99404383803792,0.004319458491938491,132.2581595369403,Bootstrap02
response,7,49,156.15797085692665,0.018489196068177317,118.99947139752362,Bootstrap03
response,7,49,161.33328268352201,5.17564713793158e-4,131.2800561946991,Bootstrap04
response,7,49,153.24458269816844,0.01583295828508139,111.69640061230375,Bootstrap05
response,7,49,169.68481118592817,0.017690837365066964,137.42939790427945,Bootstrap06
response,7,49,182.41549845970658,0.006436343321021693,139.26542100356218,Bootstrap07
response,7,49,156.60957530478115,0.031592799540052195,125.77619309981915,Bootstrap08
response,7,49,149.38578676370415,0.09532304317413441,116.7043741110713,Bootstrap09
response,7,49,150.1034054740396,2.1959693761935203e-5,118.40348162600016,Bootstrap10
response,8,50,140.51463704947014,3.069604952253808e-4,114.7795812004571,Bootstrap01
response,8,50,153.67626150279418,0.001494676778843839,121.18053769783248,Bootstrap02
response,8,50,146.18838569684544,8.870235446208001e-4,116.11717039782468,Bootstrap03
response,8,50,161.51845644062783,2.484423038050061e-6,123.4158654771117,Bootstrap04
response,8,50,179.13893275863964,0.0011377771100567772,140.76816962543663,Bootstrap05
response,8,50,152.06651458618398,0.008205431960303523,118.99935042018171,Bootstrap06
response,8,50,159.46504362570306,0.011074680399711117,132.79447421757635,Bootstrap07
response,8,50,169.8879189370708,0.09957923967472404,133.74686024011461,Bootstrap08
response,8,50,167.26747758362654,0.001789902208954498,140.58736429533963,Bootstrap09
response,8,50,174.6893770644474,0.012680532743820288,146.15472834244213,Bootstrap10
response,9,51,142.82127341527337,0.03723530419988472,119.23682958220596,Bootstrap01
response,9,51,138.44564137693268,0.006415497876035023,112.56894262881221,Bootstrap02
response,9,51,187.22926770645935,0.0038338406726958524,150.64405558962864,Bootstrap03
response,9,51,158.92242291431563,0.0020760002034453454,125.96719497237237,Bootstrap04
response,9,51,123.31066410614456,0.06005280273868313,103.39455510108141,Bootstrap05
response,9,51,162.2510019751432,0.009714679273823796,132.22384984195133,Bootstrap06
response,9,51,172.13383566896044,0.0018138739614851202,145.19612001883544,Bootstrap07
response,9,51,169.3592255661828,0.007747823303733587,140.6382789651586,Bootstrap08
response,9,51,190.4372687683784,0.014654698692046579,149.83530142242068,Bootstrap09
response,9,51,179.3390247329295,0.003078785974145319,144.9915332410251,Bootstrap10
response,10,52,152.95926520729822,0.0035082889320113856,126.95633228571717,Bootstrap01
response,10,52,174.56494497221863,0.013991548973271789,139.6659627080506,Bootstrap02
response,10,52,167.58132889249285,0.0010724367496267432,141.28021382508996,Bootstrap03
response,10,52,149.3036409660871,1.5457353712873918e-9,119.6651422001977,Bootstrap04
response,10,52,159.26752694391263,0.0038537226464586314,125.70318554988141,Bootstrap05
response,10,52,157.32043466196563,0.018982401391172812,129.85569739543214,Bootstrap06
response,10,52,170.58473121727653,0.11120076054554968,124.59309578129226,Bootstrap07
response,10,52,152.68401065130863,0.008744064717627151,118.18129060581023,Bootstrap08
response,10,52,153.11601244150398,0.002581717195463634,117.64968355816494,Bootstrap09
response,10,52,162.26950987027385,0.008069680017649598,130.34428081580083,Bootstrap10
